person_id	surface	reading	kind	note	added
hololive-yuzukichoco	ちょこ先	ちょこせん	nickname	愛称	2026-09-09
hololive-yuzukichoco	癒月ちょこ	ゆずきちょこ	reading_variant	表記揺れ	2026-09-09
hololive-kikiraravivi	綺々羅々ヴィヴィ	ききららびび	reading_variant	表記揺れ	2026-09-09
hololive-akirosenthal	あきロゼ	あきろぜ	nickname	愛称	2026-09-09
hololive-akirosenthal	アキ・ローゼンタール	あきろぜ	nickname	愛称からフルネームへの変換	2026-09-09
hololive-robocosan	ロボ子さん	ろぼこ	reading_variant	省略した読み	2026-09-09
hololive-yukihanalamy	雪花ラミィ	ゆきはならみー	reading_variant	表記揺れ	2026-09-09
hololive-tokinosora	ときの	ときの	family_name	公式ローマ字の空白区切りで分割（表記は全かな）	2026-09-09
hololive-tokinosora	そら	そら	given_name	公式ローマ字の空白区切りで分割（表記は全かな）	2026-09-09
hololive-shirakamifubuki	白上	しらかみ	family_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-shirakamifubuki	フブキ	ふぶき	given_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-usadapekora	兎田	うさだ	family_name	Wikidata かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-usadapekora	ぺこら	ぺこら	given_name	Wikidata かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-houshoumarine	宝鐘	ほうしょう	family_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-houshoumarine	マリン	まりん	given_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-hoshimachisuisei	星街	ほしまち	family_name	Wikidata かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-hoshimachisuisei	すいせい	すいせい	given_name	Wikidata かな表記の語区切り＋かな境界で分割	2026-09-09
nijisanji-hyakumantenbarasalome	壱百満天原	ひゃくまんてんばら	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-hyakumantenbarasalome	サロメ	さろめ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-hoshikawasara	星川	ほしかわ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-hoshikawasara	サラ	さら	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-inuitoko	戌亥	いぬい	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-inuitoko	とこ	とこ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-shuyamino	闇ノ	やみの	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-shuyamino	シュウ	しゅう	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-kagamihayato	加賀美	かがみ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-kagamihayato	ハヤト	はやと	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-machitachima	町田	まちた	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-machitachima	ちま	ちま	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-amamiyakokoro	天宮	あまみや	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-amamiyakokoro	こころ	こころ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-honmahimawari	本間	ほんま	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-honmahimawari	ひまわり	ひまわり	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-suzuharalulu	鈴原	すずはら	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-suzuharalulu	るる	るる	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-nishizonochigusa	西園	にしぞの	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-nishizonochigusa	チグサ	ちぐさ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-suosango	周央	すおう	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-suosango	サンゴ	さんご	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-mashiromeme	ましろ	ましろ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-mashiromeme	爻	めめ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-yorumirena	夜見	よるみ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-yorumirena	れな	れな	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-makainoririmu	魔界ノ	まかいの	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-makainoririmu	りりむ	りりむ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-hanabatakechaika	花畑	はなばたけ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-hanabatakechaika	チャイカ	ちゃいか	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-takamiyarion	鷹宮	たかみや	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-takamiyarion	リオン	りおん	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-koyanagirou	小柳	こやなぎ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-koyanagirou	ロウ	ろう	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-shikinagiakira	四季凪	しきなぎ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-shikinagiakira	アキラ	あきら	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-hoshirubesho	星導	ほしるべ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-hoshirubesho	ショウ	しょう	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-shioriharuri	栞葉	しおりは	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-shioriharuri	るり	るり	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-uzukikou	卯月	うづき	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-uzukikou	コウ	こう	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-ishigaminozomi	石神	いしがみ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-ishigaminozomi	のぞみ	のぞみ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-yuhiriri	夕陽	ゆうひ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-yuhiriri	リリ	りり	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-hibachimana	緋八	ひばち	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-hibachimana	マナ	まな	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-inamirai	伊波	いなみ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-inamirai	ライ	らい	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-saikiittetsu	佐伯	さいき	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-saikiittetsu	イッテツ	いってつ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-murakumokagetsu	叢雲	むらくも	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-murakumokagetsu	カゲツ	かげつ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-usamirito	宇佐美	うさみ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-usamirito	リト	りと	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-fushimigaku	伏見	ふしみ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-fushimigaku	ガク	がく	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-tamanoinana	珠乃井	たまのい	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-tamanoinana	ナナ	なな	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-akagiwen	赤城	あかぎ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-akagiwen	ウェン	うぇん	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-sakakiness	榊	さかき	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-sakakiness	ネス	ねす	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-shishidoakari	獅子堂	ししどう	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-shishidoakari	あかり	あかり	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-yuzukiroa	夢月	ゆづき	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-yuzukiroa	ロア	ろあ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-kitakojihisui	北小路	きたこうじ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-kitakojihisui	ヒスイ	ひすい	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-matsukaimao	魔使	まつかい	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-matsukaimao	マオ	まお	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-nagisatrout	渚	なぎさ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-nagisatrout	トラウト	とらうと	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-ienagamugi	家長	いえなが	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-ienagamugi	むぎ	むぎ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-saotomeberry	早乙女	さおとめ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-saotomeberry	ベリー	べりー	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-kuroishiba	黒井	くろい	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-kuroishiba	しば	しば	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-kuramochimeruto	倉持	くらもち	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-kuramochimeruto	めると	めると	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-yamagamikaruta	山神	やまがみ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-yamagamikaruta	カルタ	かるた	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-kaburakiroco	鏑木	かぶらき	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-kaburakiroco	ろこ	ろこ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-shigariko	司賀	しが	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-shigariko	りこ	りこ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-kiraratamako	雲母	きらら	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-kiraratamako	たまこ	たまこ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-sorahoshikirame	空星	そらほし	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
